image_a,species,individual_id,image_b,label
cb9ef4202eb9ad.jpg,cuviers_beaked_whale,362fa1cf5553,e76bd5be2299aa.jpg,1
e76bd5be2299aa.jpg,cuviers_beaked_whale,362fa1cf5553,cb9ef4202eb9ad.jpg,1
cb9ef4202eb9ad.jpg,cuviers_beaked_whale,362fa1cf5553,704ef2223ff8e8.jpg,0
e76bd5be2299aa.jpg,cuviers_beaked_whale,362fa1cf5553,8674d7f701e698.jpg,0
2e69a02b3c23d6.jpg,humpback_whale,0f39175ce333,2e69a02b3c23d6.jpg,1
8a69b730b1dd02.jpg,humpback_whale,0f39175ce333,8a69b730b1dd02.jpg,1
2e69a02b3c23d6.jpg,humpback_whale,0f39175ce333,bbd88a57e3e6e1.jpg,0
8a69b730b1dd02.jpg,humpback_whale,0f39175ce333,ddb6531bbed7d1.jpg,0
040ca89203aa65.jpg,blue_whale,9dd0e3032b44,13178d815a93bb.jpg,1
13178d815a93bb.jpg,blue_whale,9dd0e3032b44,040ca89203aa65.jpg,1
040ca89203aa65.jpg,blue_whale,9dd0e3032b44,b5eb4ea865fa4c.jpg,0
13178d815a93bb.jpg,blue_whale,9dd0e3032b44,b758ae3b43225a.jpg,0
43e6b5aceefd98.jpg,bottlenose_dolphin,40331d0f0e4d,43e6b5aceefd98.jpg,1
43e6b5aceefd98.jpg,bottlenose_dolphin,40331d0f0e4d,86cbd011826c23.jpg,0
b12d53ef632cab.jpg,blue_whale,26416a843b61,b12d53ef632cab.jpg,1
d61b7b57841ce7.jpg,blue_whale,26416a843b61,d61b7b57841ce7.jpg,1
b12d53ef632cab.jpg,blue_whale,26416a843b61,0130886c5f63bb.jpg,0
d61b7b57841ce7.jpg,blue_whale,26416a843b61,4fc62d1ad2d89f.jpg,0
bcbdbcf4cc62bb.jpg,minke_whale,5d0b3d883130,bcbdbcf4cc62bb.jpg,1
bcbdbcf4cc62bb.jpg,minke_whale,5d0b3d883130,1245788c6d2dcd.jpg,0
49e26e1625eaef.jpg,southern_right_whale,9a999212d3c6,49e26e1625eaef.jpg,1
515aa4451e8952.jpg,southern_right_whale,9a999212d3c6,515aa4451e8952.jpg,1
b7fcfbd43a4efa.jpg,southern_right_whale,9a999212d3c6,b7fcfbd43a4efa.jpg,1
49e26e1625eaef.jpg,southern_right_whale,9a999212d3c6,ac3b6b3b9ebb9a.jpg,0
515aa4451e8952.jpg,southern_right_whale,9a999212d3c6,09ea18e552429f.jpg,0
b7fcfbd43a4efa.jpg,southern_right_whale,9a999212d3c6,9f21b2e9268478.jpg,0
f689dd61178493.jpg,humpback_whale,27be93c53673,f689dd61178493.jpg,1
f689dd61178493.jpg,humpback_whale,27be93c53673,a5cff263c4b5d6.jpg,0
25cbf2bf31760c.jpg,humpback_whale,03a3bbaeed84,d22f6fdfd94611.jpg,1
d22f6fdfd94611.jpg,humpback_whale,03a3bbaeed84,25cbf2bf31760c.jpg,1
25cbf2bf31760c.jpg,humpback_whale,03a3bbaeed84,1b7e9586997291.jpg,0
d22f6fdfd94611.jpg,humpback_whale,03a3bbaeed84,83e53ecb23f1c8.jpg,0
00f5b73aa72279.jpg,humpback_whale,bba489ffa50e,e9c6ff72c7813d.jpg,1
80b1b3383fd91b.jpg,humpback_whale,bba489ffa50e,ebc7e212d6e505.jpg,1
86e72e240c26f1.jpg,humpback_whale,bba489ffa50e,cc68c581764c8b.jpg,1
bf359f93ebc80f.jpg,humpback_whale,bba489ffa50e,00f5b73aa72279.jpg,1
cc68c581764c8b.jpg,humpback_whale,bba489ffa50e,bf359f93ebc80f.jpg,1
d486fbbfe662c7.jpg,humpback_whale,bba489ffa50e,86e72e240c26f1.jpg,1
e9c6ff72c7813d.jpg,humpback_whale,bba489ffa50e,80b1b3383fd91b.jpg,1
ebc7e212d6e505.jpg,humpback_whale,bba489ffa50e,d486fbbfe662c7.jpg,1
00f5b73aa72279.jpg,humpback_whale,bba489ffa50e,98e6ea02f7bfab.jpg,0
80b1b3383fd91b.jpg,humpback_whale,bba489ffa50e,ad7973d1c6b2f0.jpg,0
86e72e240c26f1.jpg,humpback_whale,bba489ffa50e,89d1d660ff44b3.jpg,0
bf359f93ebc80f.jpg,humpback_whale,bba489ffa50e,a6b70362899556.jpg,0
cc68c581764c8b.jpg,humpback_whale,bba489ffa50e,f09efb1e6f63c1.jpg,0
d486fbbfe662c7.jpg,humpback_whale,bba489ffa50e,fbd9f94b6d76cc.jpg,0
e9c6ff72c7813d.jpg,humpback_whale,bba489ffa50e,39f51af932d3a1.jpg,0
